"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",26.0800052081426,0.259786863375595,0.2524415626056
"big","some",5.09968976375833,0.283421292097639,0.29195354033109
"big","num",0.632924611692953,0.0326793357274252,0.0316620743325176
"big","noDet",1.67252454465567,0.0670556383747523,0.0573205376803954
"big","other",14.3699235427035,5.055512075314,5.14722028295729
"small","all",26.0920656085891,0.323773957665015,0.248875386771033
"small","some",7.23812775337531,1.91099216620423,3.58030298358917
"small","num",0.600413315713416,0.0453055610559902,0.0454658879200499
"small","noDet",1.68693640542998,0.082126705331208,0.0870677888888358
"small","other",17.7039120380374,4.99134503388661,5.06513132126095
