"condition","size","gender","quarter","surprisal","correlation","P"
"all","big","boy",1,13.2877123795494,0.85,0.00049
"all","big","boy",1,13.2877123795494,0.85,0.00049
"all","big","boy",2,13.2877123795494,0.85,0.00369
"all","big","boy",2,13.2877123795494,0.85,0.00369
"all","big","boy",2,13.2877123795494,0.85,0.00369
"all","big","boy",3,13.2877123795494,0.92,0.00931
"all","big","boy",3,13.2877123795494,0.92,0.00931
"all","big","boy",3,13.2877123795494,0.92,0.00931
"all","big","girl",1,13.2877123795494,0.89,9e-05
"all","big","girl",1,13.2877123795494,0.89,9e-05
"all","big","girl",2,13.2877123795494,0.87,3e-05
"all","big","girl",2,13.2877123795494,0.87,3e-05
"all","big","girl",2,13.2877123795494,0.87,3e-05
"all","small","boy",3,13.2877123795494,0.57,0.23761
"all","small","boy",3,13.2877123795494,0.57,0.23761
"all","small","boy",3,13.2877123795494,0.57,0.23761
"all","small","boy",4,13.2877123795494,0.79,9e-05
"all","small","boy",4,13.2877123795494,0.79,9e-05
"all","small","girl",3,13.2877123795494,0.34,0.37001
"all","small","girl",3,13.2877123795494,0.34,0.37001
"all","small","girl",3,13.2877123795494,0.34,0.37001
"all","small","girl",3,13.2877123795494,0.34,0.37001
"all","small","girl",4,13.2877123795494,0.72,0.00079
"all","small","girl",4,13.2877123795494,0.72,0.00079
"number","big","boy",1,0.807354922057604,0.99,0.08574
"number","big","boy",1,0.807354922057604,0.99,0.08574
"number","big","boy",2,0.494764691749578,0.98,0.00047
"number","big","boy",2,0.494764691749578,0.98,0.00047
"number","big","boy",2,0.494764691749578,0.98,0.00047
"number","big","boy",3,0.874469117916141,0.93,0.00734
"number","big","boy",3,0.874469117916141,0.93,0.00734
"number","big","boy",3,0.874469117916141,0.93,0.00734
"number","big","boy",4,0.447458976971221,0.92,0.00831
"number","big","boy",4,0.447458976971221,0.92,0.00831
"number","big","girl",1,0.570315724756755,0.91,0.00057
"number","big","girl",1,0.570315724756755,0.91,0.00057
"number","big","girl",1,0.570315724756755,0.91,0.00057
"number","big","girl",2,0.547487795302493,0.91,0.01223
"number","big","girl",2,0.547487795302493,0.91,0.01223
"number","big","girl",2,0.547487795302493,0.91,0.01223
"number","big","girl",3,0.83650126771712,0.91,0.0112
"number","big","girl",3,0.83650126771712,0.91,0.0112
"number","big","girl",3,0.83650126771712,0.91,0.0112
"number","big","girl",3,0.83650126771712,0.91,0.0112
"number","big","girl",4,0.696607856550065,0.94,0.00015
"number","big","girl",4,0.696607856550065,0.94,0.00015
"number","big","girl",4,0.696607856550065,0.94,0.00015
"number","big","girl",4,0.696607856550065,0.94,0.00015
"number","small","boy",1,0.45567948377619,0.96,4e-05
"number","small","boy",1,0.45567948377619,0.96,4e-05
"number","small","boy",1,0.45567948377619,0.96,4e-05
"number","small","boy",2,0.898120385980786,0.98,0.12379
"number","small","boy",2,0.898120385980786,0.98,0.12379
"number","small","boy",2,0.898120385980786,0.98,0.12379
"number","small","boy",2,0.898120385980786,0.98,0.12379
"number","small","boy",3,0.436099114806674,0.85,0.00378
"number","small","boy",3,0.436099114806674,0.85,0.00378
"number","small","boy",4,0.556393348524385,0.92,3e-05
"number","small","boy",4,0.556393348524385,0.92,3e-05
"number","small","girl",1,0.584962500721156,1,0.03272
"number","small","girl",1,0.584962500721156,1,0.03272
"number","small","girl",2,0.534336427651188,0.94,0.00014
"number","small","girl",2,0.534336427651188,0.94,0.00014
"number","small","girl",2,0.534336427651188,0.94,0.00014
"number","small","girl",3,0.874469117916141,0.97,0.14495
"number","small","girl",3,0.874469117916141,0.97,0.14495
"number","small","girl",3,0.874469117916141,0.97,0.14495
"number","small","girl",4,0.695145418471579,0.94,0.00592
"number","small","girl",4,0.695145418471579,0.94,0.00592
"number","small","girl",4,0.695145418471579,0.94,0.00592
"number","small","girl",4,0.695145418471579,0.94,0.00592
"some","big","boy",3,13.2877123795494,0.91,0.01261
"some","big","boy",3,13.2877123795494,0.91,0.01261
"some","big","boy",3,13.2877123795494,0.91,0.01261
"some","big","boy",4,4.35755200461808,0.83,2e-05
"some","big","boy",4,4.35755200461808,0.83,2e-05
"some","big","boy",4,4.35755200461808,0.83,2e-05
"some","big","girl",3,13.2877123795494,0.81,0.00817
"some","big","girl",3,13.2877123795494,0.81,0.00817
"some","big","girl",4,3.8073549220576,0.79,0.00215
"some","big","girl",4,3.8073549220576,0.79,0.00215
"some","big","girl",4,3.8073549220576,0.79,0.00215
"some","small","boy",1,3.96962635095648,0.63,0.02813
"some","small","boy",1,3.96962635095648,0.63,0.02813
"some","small","boy",1,3.96962635095648,0.63,0.02813
"some","small","boy",2,13.2877123795494,0.88,0.00192
"some","small","boy",2,13.2877123795494,0.88,0.00192
"some","small","boy",3,5.16992500144231,0.64,0.16879
"some","small","boy",3,5.16992500144231,0.64,0.16879
"some","small","boy",3,5.16992500144231,0.64,0.16879
"some","small","girl",1,5.08746284125034,0.68,0.01443
"some","small","girl",1,5.08746284125034,0.68,0.01443
"some","small","girl",1,5.08746284125034,0.68,0.01443
"some","small","girl",2,13.2877123795494,0.83,0.00014
"some","small","girl",2,13.2877123795494,0.83,0.00014
