workerid,proliferate.condition,time_in_minutes,error
120,List1,9.266316666666668,
128,List1,7.861716666666666,
124,List1,10.18915,
101,List1,31.9665,
127,List1,19.83985,
98,List1,12.302233333333334,
82,List1,10.932433333333334,
104,List1,6.4179,
134,List1,10.850616666666667,
130,List1,13.876466666666667,
95,List1,6.4081,
85,List1,7.1622,
113,List1,9.393016666666666,
108,List1,13.08425,
117,List1,35.301633333333335,
92,List1,9.268516666666669,
89,List1,11.22495,
132,List3,17.980483333333332,
116,List3,8.247783333333333,
88,List3,16.1037,
103,List3,8.524766666666666,
91,List3,9.910183333333332,
94,List3,14.376933333333334,
133,List3,7.6483,
110,List3,9.18175,
121,List3,9.47535,
81,List3,10.601366666666667,
135,List3,7.425816666666667,
136,List3,7.335316666666667,
111,List3,9.50915,
112,List3,7.257983333333334,
119,List3,5.487433333333334,
100,List3,9.661066666666668,
131,List3,12.264083333333334,
106,List2,14.2753,
99,List2,12.752216666666667,
86,List2,6.368366666666667,
102,List2,9.7574,
90,List2,12.166633333333332,
114,List2,12.998733333333334,
80,List2,13.6684,
126,List2,14.377633333333334,
125,List2,9.921116666666666,
122,List2,11.382933333333334,
109,List2,9.35675,
93,List2,10.828883333333334,
83,List2,8.456433333333333,
96,List2,17.085816666666666,
129,List2,8.1889,
118,List2,14.8197,
115,List2,9.022133333333333,
