"condition","size","gender","surprisal","correlation","P"
"all","big","boy",2.03058831983342,0.94,0
"all","big","girl",1.67807190511264,0.92,0
"all","small","boy",2.12553088208386,0.84,0
"all","small","girl",2.57490883605723,0.79,0
"number","big","boy",0.772048053321651,0.95,0
"number","big","girl",0.781105022899779,0.95,0
"number","small","boy",0.712718047919529,0.95,0
"number","small","girl",0.610725596786238,0.96,0
"some","big","boy",3.26303440583379,0.91,0
"some","big","girl",2.93198157657135,0.87,0
"some","small","boy",3.54432051622381,0.84,0
"some","small","girl",2.94189704543643,0.86,0
